reg_id,student_id,section_id,semester,status,grade,registration_date
97,29,58,Spring2026,Completed,A,2026-08-31 19:49:22
98,29,28,Spring2025,Completed,B,2026-08-31 19:49:22
99,30,45,Fall2025,Dropped,,2026-08-31 19:49:22
100,30,49,Fall2025,Completed,F,2026-08-31 19:49:22
101,30,32,Spring2025,Completed,F,2026-08-31 19:49:22
102,30,34,Spring2025,Completed,C,2026-08-31 19:49:22
103,30,58,Spring2026,Completed,C,2026-08-31 19:49:22
104,31,55,Spring2026,Completed,B,2026-08-31 19:49:22
105,31,52,Spring2026,Completed,B,2026-08-31 19:49:22
106,31,53,Spring2026,Completed,D,2026-08-31 19:49:22
107,32,44,Fall2025,Completed,D,2026-08-31 19:49:22
108,32,42,Fall2025,Dropped,,2026-08-31 19:49:22
109,32,51,Spring2026,Failed,F,2026-08-31 19:49:22
110,32,43,Fall2025,Completed,A,2026-08-31 19:49:22
111,32,49,Fall2025,Failed,F,2026-08-31 19:49:22
112,32,62,Spring2026,Failed,F,2026-08-31 19:49:22
113,33,39,Fall2025,Completed,C,2026-08-31 19:49:22
114,33,41,Fall2025,Failed,F,2026-08-31 19:49:22
115,33,53,Spring2026,Failed,F,2026-08-31 19:49:22
116,33,59,Spring2026,Completed,A,2026-08-31 19:49:22
117,34,31,Spring2025,Failed,F,2026-08-31 19:49:22
118,34,21,Spring2025,Completed,C,2026-08-31 19:49:22
119,34,41,Fall2025,Failed,F,2026-08-31 19:49:22
120,35,40,Fall2025,Completed,F,2026-08-31 19:49:22
121,35,59,Spring2026,Failed,F,2026-08-31 19:49:22
122,35,31,Spring2025,Failed,F,2026-08-31 19:49:22
123,35,33,Spring2025,Completed,A,2026-08-31 19:49:22
124,35,30,Spring2025,Completed,C,2026-08-31 19:49:22
125,36,54,Spring2026,Completed,C,2026-08-31 19:49:22
126,36,38,Fall2025,Dropped,,2026-08-31 19:49:22
127,36,52,Spring2026,Completed,D,2026-08-31 19:49:22
128,37,30,Spring2025,Completed,A,2026-08-31 19:49:22
129,37,65,Spring2026,Completed,F,2026-08-31 19:49:22
130,37,54,Spring2026,Dropped,,2026-08-31 19:49:22
131,37,32,Spring2025,Failed,F,2026-08-31 19:49:22
132,38,63,Spring2026,Dropped,,2026-08-31 19:49:22
133,38,56,Spring2026,Dropped,,2026-08-31 19:49:22
134,38,34,Spring2025,Completed,D,2026-08-31 19:49:22
135,39,46,Fall2025,Completed,F,2026-08-31 19:49:22
136,39,27,Spring2025,Dropped,,2026-08-31 19:49:22
137,39,55,Spring2026,Failed,F,2026-08-31 19:49:22
138,39,43,Fall2025,Dropped,,2026-08-31 19:49:22
139,39,41,Fall2025,Failed,F,2026-08-31 19:49:22
140,39,25,Spring2025,Completed,F,2026-08-31 19:49:22
141,40,60,Spring2026,Completed,F,2026-08-31 19:49:22
142,40,49,Fall2025,Completed,C,2026-08-31 19:49:22
143,40,48,Fall2025,Completed,C,2026-08-31 19:49:22
144,40,62,Spring2026,Dropped,,2026-08-31 19:49:22
145,40,54,Spring2026,Dropped,,2026-08-31 19:49:22
146,40,44,Fall2025,Dropped,,2026-08-31 19:49:22
147,41,48,Fall2025,Completed,A,2026-08-31 19:49:22
148,41,47,Fall2025,Dropped,,2026-08-31 19:49:22
149,41,43,Fall2025,Completed,D,2026-08-31 19:49:22
150,41,59,Spring2026,Dropped,,2026-08-31 19:49:22
151,41,40,Fall2025,Completed,C,2026-08-31 19:49:22
152,41,26,Spring2025,Dropped,,2026-08-31 19:49:22
153,42,24,Spring2025,Completed,F,2026-08-31 19:49:22
154,42,63,Spring2026,Completed,D,2026-08-31 19:49:22
155,42,34,Spring2025,Completed,C,2026-08-31 19:49:22
156,42,25,Spring2025,Dropped,,2026-08-31 19:49:22
157,43,21,Spring2025,Dropped,,2026-08-31 19:49:22
158,43,31,Spring2025,Completed,F,2026-08-31 19:49:22
159,43,30,Spring2025,Completed,C,2026-08-31 19:49:22
160,43,38,Fall2025,Completed,F,2026-08-31 19:49:22
161,43,37,Fall2025,Completed,F,2026-08-31 19:49:22
162,44,61,Spring2026,Completed,F,2026-08-31 19:49:22
163,44,55,Spring2026,Completed,B,2026-08-31 19:49:22
164,44,63,Spring2026,Dropped,,2026-08-31 19:49:22
165,45,57,Spring2026,Completed,D,2026-08-31 19:49:22
166,45,45,Fall2025,Dropped,,2026-08-31 19:49:22
167,45,52,Spring2026,Completed,F,2026-08-31 19:49:22
168,46,46,Fall2025,Completed,B,2026-08-31 19:49:22
169,46,52,Spring2026,Completed,C,2026-08-31 19:49:22
170,46,60,Spring2026,Completed,D,2026-08-31 19:49:22
171,46,47,Fall2025,Failed,F,2026-08-31 19:49:22
172,7,1,Fall2026,Enrolled,,2026-08-31 19:56:40
173,7,10,Fall2026,Enrolled,,2026-08-31 20:14:19
